org,taigigo
貫徹,挫折
寒波,熱波
完敗,圧勝
完備,不備
灌木,喬木
完訳,抄訳
寛容,厳格
簡略,詳細
寒流,暖流
寒冷,温暖
共同,単独
共有,専有
許可,禁止
極大,極小
虚像,実像
疑念,確信
凝固,融解
着る,脱ぐ
綺麗,汚い
巨大,微小
嫌う,好む
キラキラネーム,シワシワネーム
近接,遠隔
近代,古代
近因,遠因
近国,遠国
近視,遠視
緊張,弛緩
蔵入れ,蔵出し
クリエイティブ,イミテイティブ
苦しみ,楽しみ
苦しむ,楽しむ
来る年,行く年
暮れ,明け
黒星,白星
黒目,白目
玄人,素人
黒潮,親潮
詳しい,疎い
加える,除く
君子,小人
君主,臣下
軍需,民需
軍人,文民
軍縮,軍拡
訓読み,音読み
現象,本体
健側,患側
圏内,圏外
減少,増加
現状維持,現状打破
現職,前職
賢人,愚人
現世,来世
原則,例外
減退,増進
献杯,返杯
倹約,贅沢
倹約,奢侈
倹約,浪費
謙遜,不遜
原理,応用
極寒,酷暑
語幹,語尾
語尾,語頭
語末,語頭
古参,新参
古風,今風
個人,社会
個人,団体
個別,全体
個別,総合
根幹,枝葉
困窮,裕福
困難,容易
根本,枝葉
混乱,整頓
混乱,秩序
混乱,統一さ
罪,功
細雨,大雨
債権,債務
債権者,債務者
在家,出家
採血,輸血
才女,才子
細字,太字
最初,最後
再犯,初犯
再婚,初婚
財産刑,自由刑
栽培,自生
細説,概説
最古,最新
採光,遮光
最高,最低し
始,終
始,末
子,親
死,生
私,公
師,弟
試案,成案
至易,至難
自愛,自虐
自愛,他愛
子音,母音
私益,公益
私営,公営
自我,非我
紫外線,赤外線
自覚,覚他
私企業,公企業し
集中,分散
柔軟,強硬
収入,支出
収賄,贈賄
主観,客観
主賓,陪賓
祝賀,哀悼
祝辞,弔辞
熟練,未熟
主語,述語
主食,副食
主人,客人
主体,客体
受諾,拒絶
出御,入御
出勤,欠勤
出席,欠席す
水,火
水圧,気圧
水面,水底
衰運,盛運
水害,干害
衰退,発展
水平,垂直
水田,陸田
水浴,温浴
進む,退く
素直,意地っ張り
既に,未だに
頭脳労働,肉体労働
好き,嫌い
素早い,鈍い
鋭い,鈍いそ
疎,密
粗,精
粗,密
増,減
憎,愛
粗悪,精好
増益,減益
造花,生花
創刊,廃刊
争議,和解
相応,不相応
創業,守成
創業,廃業
総計,小計
壮健,病弱
相互的,一方的
早婚,晩婚
罪過,功績
歳出,歳入
細心,放胆
最善,最悪
最前列,最後列
最多,最少
最上,最下
妻帯,独身
最大,最小
最大限,最小限
最高値,最安値
最短,最長
財団,社団
才物,鈍物
細別,大別
歳末,歳旦
細密,粗大
在銘,無銘
在来種,外来種
在来線,新幹線
最良,最悪
磁器,陶器
死去,誕生
時化,凪
刺激,反応
自国語,外国語
自己資本,他人資本
自罪,原罪
自作,代作
思索的,経験的
自殺,他殺
資産,負債
事実,虚構
支社,本社
師匠,弟子
死者,生者
鎮める,煽る
自然,人工
自薦,他薦
事前,事後
集中,散漫
出発,到着
出版,絶版
主役,脇役
受領,提出
消耗,蓄積
私費,公費
弱肉強食,共存共栄
春分,秋分
順風,逆風
昇格,降格
勝者,敗者
乗車,下車
乗馬,下馬
上昇,下降
上昇,低下
上席,末席
饒舌,緘黙
承諾,拒絶
消灯,点灯
上等,下等
衰亡,興隆
睡眠,覚醒
澄む,濁る
すべすべ,ざらざら
瀬,淵
成案,草案
清音,濁音
正確,不正確
正義,不義
正答,誤答
清潔,不潔
制限,無制限
正攻,奇襲
精巧,粗雑
正座,安座
生産,消費
生産者,消費者
正式,略式
早参,遅参
早産,晩産
増産,減産
送辞,答辞
増資,減資
相思相愛,片思い
漕手,舵手
早秋,晩秋
増収,減収
早熟,晩成
早熟,晩熟
早成,晩成
早春,晩春
送信,受信
送信機,受信機
増水,減水
喪失,獲得
増税,減税
増配,減配
騒然,粛然
創造,模倣
差益,差損
冴える,鈍る
栄える,衰える
逆手,順手
逆らう,従う
盛り場,場末
昨日,明日
左傾,右傾
左舷,右舷
削減,増加
削減,追加
削除,増補
削除,添加
削除,付加
些細,重大
囁く,叫ぶ
鎖国,開国
座礁,離礁
自然災害,人為災害
死蔵,活用
子息,息女
子孫,先祖
子孫,祖先
失意,得意
実益,実害
質疑,応答
失業,就業
実業,虚業
失効,発効
執行機関,議決機関
漆黒,純白
実在,架空
実質,形式
実質犯,形式犯
上品,下品
勝利,敗北
蒸留,乾留
詳論,略論
助演,主演
初夏,晩夏
序曲,終曲
食後,食前
徐行,疾行
処女,童貞
女性,男性
諸善,諸悪
女装,男装
上流,下流
叙事,抒情
序論,本論
序文,跋文
自力,他力
精子,卵子
誠実,不実
誠実,不誠実
静寂,喧噪
脆弱,強靭
成熟,未熟
精神,肉体
精神的,物質的
正装,略装
